name,month,pr_sum,pr_mean,pr_max
Anhui,April,100.871155,4.5850525,10.453002
Anhui,August,75.83407,3.4470031,7.280239
Anhui,December,11.997292,0.5453314,1.3681773
Anhui,February,53.032253,2.410557,4.8872867
Anhui,January,9.599905,0.43635932,0.9962103
Anhui,July,101.636955,4.6198616,5.8446803
Anhui,June,73.09329,3.3224223,5.055658
Anhui,March,81.03973,3.683624,7.483668
Anhui,May,141.8596,6.448164,11.957413
Anhui,November,58.333588,2.6515267,4.167222
Anhui,October,42.838055,1.9471843,3.017188
Anhui,September,11.398584,0.5181175,1.1093187
Hubei,April,128.56174,4.5914907,7.493876
Hubei,August,118.93836,4.2477984,6.225026
Hubei,December,5.546491,0.19808897,0.45209098
Hubei,February,74.4009,2.657175,4.224004
Hubei,January,24.660147,0.88071954,1.3418885
Hubei,July,73.344604,2.61945,3.6133683
Hubei,June,74.492935,2.660462,3.5925248
Hubei,March,113.9387,4.069239,5.3464913
Hubei,May,265.4238,9.479422,13.177361
Hubei,November,63.42099,2.2650354,2.8556325
Hubei,October,74.69715,2.6677554,3.6038175
Hubei,September,40.014973,1.4291061,2.8929641
Hunan,April,241.80814,7.5565042,9.935178
Hunan,August,125.35185,3.9172454,8.862945
Hunan,December,31.114544,0.9723295,1.7755153
Hunan,February,136.40224,4.26257,4.8734455
Hunan,January,40.256016,1.2580005,1.4526097
Hunan,July,73.49217,2.2966304,3.619183
Hunan,June,135.5817,4.236928,10.62516
Hunan,March,128.99612,4.031129,5.0592003
Hunan,May,272.8097,8.525303,14.795588
Hunan,November,84.042656,2.626333,3.432719
Hunan,October,84.82446,2.6507645,3.7512345
Hunan,September,33.760273,1.0550085,1.4860456
Jiangsu,April,42.981064,2.6863165,5.860438
Jiangsu,August,81.767426,5.110464,7.4781613
Jiangsu,December,9.250931,0.5781832,1.1816311
Jiangsu,February,27.832878,1.7395549,3.9062247
Jiangsu,January,5.0821643,0.31763527,0.66863793
Jiangsu,July,73.68251,4.605157,5.8439436
Jiangsu,June,58.89453,3.6809082,4.2385354
Jiangsu,March,44.85351,2.8033445,5.253693
Jiangsu,May,55.85252,3.4907825,7.960109
Jiangsu,November,42.665066,2.6665666,4.4686823
Jiangsu,October,26.792295,1.6745185,2.7719316
Jiangsu,September,12.126846,0.7579279,1.6935483
